1-2タームのものは7ターム、4-5タームのものは8ターム、前期集中は9ターム、後期集中は10タームと表記する。,,,,,,,,,,
GD101,G121011022,情報リテラシー(22),火,3,7,2,G1-情報処理演習室:G3-12,1,数理データサイエンス基礎科目,1
GD103,G122002006,データサイエンスB(6),金,2,4,1,工1-501,1,数理データサイエンス展開科目,1
GD104,G122003001,データサイエンスC(1),水,1,1,1,G3-11,0,数理データサイエンス展開科目,1
GD104,G122003002,データサイエンスC(2),水,1,2,1,G3-11,0,数理データサイエンス展開科目,1
GD104,G122003003,データサイエンスC(3),水,1,4,1,G3-11,0,数理データサイエンス展開科目,1
GD105,G122004001,データサイエンスD(1),木,1,2,1,G3-11,0,数理データサイエンス展開科目,1
GA102,G14B041003,現代教育の諸問題(3),火,2,2,1,メディア,2,生命コア,1
GA102,G14B061001,心の科学の成立と発展,火,2,2,1,メディア,2,生命コア,1
GA102,G14B081002,心の働きの科学(2),火,2,2,1,メディア,2,生命コア,1
GA102,G14F261001,こどもと医療,火,2,2,1,メディア,2,生命コア,1
GJ101,G14N011001,世界の歴史と日本,火,2,1,1,メディア,2,国際基礎,1
GJ101,G14N191001,グローバル社会とスポーツ,火,2,1,1,メディア,2,国際基礎,1
GJ101,G14N271001,国際社会における科学研究,火,2,1,1,メディア,2,国際基礎,1
GJ101,G14N281001,国際保健とUHC(Universal Health Coverage),火,2,1,1,メディア,2,国際基礎,1
GA101,G14A001002,哲学(2),木,1,1,1,メディア,2,論理コア,1
GA101,G14A021001,数理(1),木,1,1,1,メディア,2,論理コア,1
GA101,G14D401004,社会科学(4),木,1,1,1,メディア,2,論理コア,1
GA101,G14D401005,社会科学(5),木,1,1,1,メディア,2,論理コア,1
GL101,G14U121001,地域とNPOの社会学,木,1,2,1,メディア,2,地域基礎,1
GL101,G14U131001,地域づくりとアートマインド,木,1,2,1,メディア,2,地域基礎,1
GL101,G14U151001,地域に住まう,木,1,2,1,メディア,2,地域基礎,1
GL101,G14U421001,地域の中のキャンパスづくり,木,1,2,1,メディア,2,地域基礎,1
GA103,G14C321001,ランドスケープを創る,火,2,4,1,メディア,2,文化コア,1
GA103,G14C341002,日本語・日本文学(2),火,2,4,1,メディア,2,文化コア,1
GA103,G14C351101,東方ユーラシアの先住民言語文化,火,2,4,1,メディア,2,文化コア,1
GA103,G14D411002,歴史と社会(2),火,2,4,1,メディア,2,文化コア,1
GA104,G14E161001,電磁気で見る地球,火,2,5,1,メディア,2,環境コア,1
GA104,G14E521001,グローバル化社会における環境課題,火,2,5,1,メディア,2,環境コア,1
GA104,G14F441001,鉱物の科学,火,2,5,1,メディア,2,環境コア,1
GA104,G14F451001,マテリアルとエネルギー・環境,火,2,5,1,メディア,2,環境コア,1
GV264,G15B042003,心理学A1(3),月,2,4,1,G2,0,教養展開,1
GV264,G15B042005,心理学A1(5),火,5,4,1,G2,0,教養展開,1
GV265,G15B043003,心理学A2(3),月,2,5,1,G2,0,教養展開,1
GV265,G15B043005,心理学A2(5),火,5,5,1,G2,0,教養展開,1
GV134,G15A101001,中国哲学,月,2,8,2,G3-11,0,教養展開,1
GY182,G15K541001,金融リテラシー,木,4,4,1,G2,0,教養展開,1
BE207,B13B200701,経済統計学Ⅰ,火,5,7,2,メディア,0,教養展開,1
GL119,G15U341001,ホリスティック地域学,集,0,7,1,メディア,0,地域展開,1
GR401,,卒業研究Ⅰ,集,0,7,2,時間割外,1,共通専門,4
GR402,,卒業研究Ⅱ,集,0,8,2,時間割外,1,共通専門,4
GV901,G159010001,デジタル社会と倫理,月,2,1,2,G1-101,0,教養展開,1
GV902,G159010002,科学技術コミュニケーション,火,1,1,2,G2-101,0,教養展開,1
GV903,G159010003,災害とレジリエンス,水,1,1,2,G3-21,0,教養展開,1
GV904,G159010004,多文化共生入門,木,1,1,2,G4-21,0,国際展開,1
GV905,G159010005,健康とウェルビーイング,金,1,1,2,G5-21,0,教養展開,1
GV906,G159020001,地球環境の現在,月,3,2,2,G6-21,0,教養展開,1
GV907,G159020002,宇宙科学への招待,火,2,2,2,G7-21,0,教養展開,1
GV908,G159020003,デザイン思考入門,水,2,2,2,G1-201,0,教養展開,1
GV909,G159020004,メディア文化論,木,3,2,2,G2-201,0,教養展開,1
GV910,G159020005,社会調査の基礎,金,2,2,2,G3-31,0,教養展開,1
GV911,G159040001,現代アートを読み解く,月,2,4,2,G4-31,0,教養展開,1
GV912,G159040002,法と市民生活,火,1,4,2,G5-31,0,教養展開,1
GV913,G159040003,暮らしの経済学,水,1,4,2,G6-31,0,教養展開,1
GV914,G159040004,心と行動の科学,木,1,4,2,G7-31,0,教養展開,1
GV915,G159040005,ことばとコミュニケーション,金,1,4,2,G1-301,0,教養展開,1
GV916,G159050001,食と農の未来,月,3,5,2,G2-301,0,教養展開,1
GV917,G159050002,生物多様性と社会,火,2,5,2,G3-41,0,教養展開,1
GV918,G159050003,数学的思考法,水,2,5,2,G4-41,0,教養展開,1
GV919,G159050004,キャリアデザイン基礎,木,3,5,2,G5-41,0,教養展開,1
GV920,G159050005,地域イノベーション論,金,2,5,2,G6-41,0,地域展開,1
